RMSE,C,kernel,gamma
70283.6455285436,300000.0,linear,
70285.03986593915,100000.0,linear,
70285.22080719851,700000.0,linear,
70286.01135527184,1000000.0,linear,
70323.59020183203,3000.0,linear,
71635.55363120146,100.0,linear,
71916.27653729176,1000.0,rbf,0.1
81560.71415842138,1000.0,rbf,0.3
84494.27228883146,300.0,rbf,0.1
95226.92638084691,300.0,rbf,0.3
100822.48562769855,1000.0,rbf,1.0
110694.78952746006,300.0,rbf,1.0
111163.63743421755,30.0,rbf,0.1
114293.72754944804,1000.0,rbf,3.0
114583.57105626212,30.0,rbf,0.3
116181.25173057283,10.0,rbf,0.1
117387.03040649094,10.0,rbf,0.3
117422.27876448397,300.0,rbf,3.0
117948.4051440062,30.0,rbf,1.0
118591.6498917307,10.0,rbf,1.0
118769.71853681088,30.0,rbf,3.0
118886.88638386014,10.0,rbf,3.0
