Score,C,coef0,degree,kernel
0.963,9.83755518841459,0.23277134043030423,3,poly
0.9619333333333332,7.951759613930136,0.19967378215835974,4,poly
0.9613999999999999,6.72522284353982,0.31171107608941095,3,poly
0.9608666666666666,1.9340450985343383,0.3042422429595377,3,poly
0.9601333333333333,1.833646535077721,0.3910606075732408,3,poly
0.9596666666666667,1.3203823484477883,0.4951769101112702,4,poly
0.9592666666666666,6.175448519014383,0.17052412368729153,4,poly
0.9587333333333334,0.30584494295802445,0.9699098521619943,5,poly
0.9582,7.896910002727692,0.596850157946487,3,poly
0.9582,8.18397348116461,0.3046137691733707,2,poly
0.9576000000000001,3.845401188473625,0.9507143064099162,4,poly
0.9556666666666667,9.932308858067882,0.4667628932479799,2,poly
0.9541333333333334,2.179416628681888,0.5677003278199915,2,poly
0.9507333333333333,3.4370861113902182,0.14286681792194078,4,poly
0.9496666666666668,0.2326496115986653,0.9422017556848528,3,poly
0.9464666666666667,2.40893825622149,0.24102546602601171,5,poly
0.9358666666666666,6.218528947223795,0.13949386065204183,5,poly
0.7987333333333333,9.485527090157502,0.0007787658410143283,5,poly
0.7642000000000001,1.6599452033620266,0.05808361216819946,5,poly
0.4013333333333333,0.17066305219717406,0.023062425041415757,4,poly
