Score,C,gamma,kernel
0.9475333333333333,8.424426408004217,0.0011526449540315614,rbf
0.9471333333333334,6.175448519014383,0.0007122305833333872,rbf
0.9436666666666667,6.218528947223795,0.0004982752357076451,rbf
0.9407333333333333,1.9182496720710063,0.0008260808399079611,rbf
0.9364,1.6601864044243653,0.000602521573620386,rbf
0.9348000000000001,3.1461376917337067,0.0003078651783619622,rbf
0.9340666666666667,4.419450186421157,0.0028585493941961923,rbf
0.9335999999999999,6.0241456886204245,0.00017070728830306665,rbf
0.8584,3.0214464853521816,0.006789053271698486,rbf
0.6621333333333334,6.942330265121568,0.015876781526923997,rbf
0.3526,2.0967378215835972,0.03725393839578886,rbf
0.28013333333333335,3.1424224295953773,0.042051564509138675,rbf
0.17720000000000002,7.41993941811405,0.09846738873614563,rbf
0.11266666666666665,4.660699842170359,0.8431013932082461,rbf
0.11266666666666665,0.30584494295802445,7.072114131472227,rbf
0.11266666666666665,6.1111501174320875,0.3470266988650412,rbf
0.11266666666666665,0.7505159298527951,5.5517216852447255,rbf
0.11266666666666665,9.756320330745593,1.1015056790269626,rbf
0.11266666666666665,0.6808361216819946,2.1423021757741068,rbf
0.11266666666666665,3.845401188473625,5.669849511478847,rbf
